,number,value,datetime_start,datetime_complete,duration,params_a_thresh1,params_a_thresh2,params_a_thresh3,params_a_thresh4,params_beta,params_beta_out,params_beta_re,params_do,params_lr,params_out_thresh1,params_out_thresh2,params_re_thresh1,params_re_thresh2,params_re_thresh3,params_re_thresh4,state
11,11,44.50565719604492,2024-03-10 09:40:34.318579,2024-03-10 10:46:04.982315,0 days 01:05:30.663736,1.7501297300449115,1.1794862342229244,32.97541536001435,16.26202763171532,0.6199364446115921,0.10142580218495367,0.3529854681744159,0.4233039611616064,0.000998520976312836,1.5946400066436963,47.51058682531974,49.63732412336238,2.592479494687601,2.4366618807727054,27.78005030678579,COMPLETE
12,12,43.31108093261719,2024-03-10 10:46:05.030039,2024-03-10 12:12:22.256587,0 days 01:26:17.226548,2.2215283080981543,15.413678790280017,31.771089543980573,14.135468308962125,0.7045797903009885,0.10426228116794273,0.11277589604275587,0.3472058357760688,0.0009855678780376575,1.4965684367907546,40.89253865802889,49.764995863138864,17.68025481979039,2.6198189955959044,25.07728811413309,COMPLETE
13,13,44.46614074707031,2024-03-10 12:12:22.275899,2024-03-10 13:05:34.966077,0 days 00:53:12.690178,33.788092703456655,16.064654832980196,49.80464094519537,5.251225433540068,0.6758501511231252,0.6484484856057803,0.13059801439305888,0.30744229457666455,0.0008924954640343709,7.477781984715629,39.64734555338618,42.8012304418542,17.25362537101039,7.721064113854732,24.93138091992838,COMPLETE
14,14,87.70569610595703,2024-03-10 13:05:34.994705,2024-03-10 13:50:47.617872,0 days 00:45:12.623167,10.40086692875532,15.438819148194314,24.936779121370886,26.09210537993621,0.7313664312683367,0.25205267975920376,0.12528301394009034,0.8806361712681727,0.00037176731394677516,47.53634551796412,39.5738874485886,49.964877529013506,21.089323290590194,8.882183546100823,1.8883328499419534,COMPLETE
15,15,34.45215606689453,2024-03-10 13:50:47.654968,2024-03-10 17:15:32.466024,0 days 03:24:44.811056,49.608034142070736,23.474020768452473,35.891284104836785,12.731680295564324,0.8853033577925282,0.6164189066353682,0.25405605844912327,0.5315362630460818,0.000861324176788757,6.009454952176458,31.724859077316292,38.16388540501069,37.23104386628324,8.967364821303914,25.09339852812513,COMPLETE
16,16,87.79843139648438,2024-03-10 17:15:32.511643,2024-03-10 18:13:15.941717,0 days 00:57:43.430074,49.60317713599318,24.62014159095875,18.098440172475517,10.874550772946929,0.7494363047074147,0.7371416389565941,0.3964784618426147,0.5474394310687647,0.0008935672251284855,33.927696924596134,30.680943247650887,19.781142727970362,38.963411903865484,1.457493807349925,28.077741763883065,COMPLETE
17,17,43.61077880859375,2024-03-10 18:13:15.961934,2024-03-10 19:10:51.060875,0 days 00:57:35.098941,38.74123818093319,10.701377328632912,1.5197066894783475,1.8034786633153992,0.48595472332449363,0.26566363359078493,0.23138750196039454,0.28418728728583653,0.0002637629929249455,4.470280513297259,32.959289141058214,35.19981483512364,49.46422797910811,22.070178374864422,24.01269015653902,COMPLETE
18,18,44.54331970214844,2024-03-10 19:10:51.086698,2024-03-10 20:41:19.593849,0 days 01:30:28.507151,43.726193583345704,19.142468838402316,28.042823753692765,27.792765620894276,0.7648197695817869,0.7843932801351392,0.25589766428594524,0.5199529575365112,0.000877814833401282,13.13827904456206,16.982511974868224,44.311732620938386,35.20959915352219,7.984217845976975,32.100464432384655,COMPLETE
19,19,87.71772766113281,2024-03-10 20:41:19.613707,2024-03-10 21:43:03.416183,0 days 01:01:43.802476,30.673650331674093,31.894420609862934,38.76881360391759,10.503363221491954,0.27538419330151287,0.5706078871309855,0.39359265002216715,0.3166690004716969,0.0008192915808884389,23.50447009463123,41.36610332781504,17.326841215139396,8.145457736134272,34.21166745718686,12.535813350021455,COMPLETE
20,20,42.510154724121094,2024-03-10 21:43:03.436822,2024-03-10 23:17:32.485096,0 days 01:34:29.048274,12.80343501147184,8.386430807327844,20.585460578844724,10.522739390782384,0.8962866823904059,0.2030024754974741,0.10448938894625917,0.6374770280721956,0.0004009603289223086,4.693475453919284,28.16775360429154,1.1059941498379686,21.00609672305942,6.193232681413043,21.77118230288342,COMPLETE
21,21,42.69572448730469,2024-03-10 23:17:32.504885,2024-03-11 00:47:55.180867,0 days 01:30:22.675982,11.70511072470589,8.712099797767939,20.117468751310376,10.225972310878692,0.8782301606287504,0.19939605616767708,0.10668832831210102,0.617242212700601,0.0003675712861153853,5.078729244808299,27.191947567314863,5.9866711023469,22.81767878763677,5.621678055866667,20.52799836882143,COMPLETE
22,22,42.85721969604492,2024-03-11 00:47:55.200616,2024-03-11 03:40:09.713997,0 days 02:52:14.513381,13.3905039015296,7.788742728165858,17.1316089039353,8.31291568589048,0.8999524333134095,0.22109602163570308,0.1949446916923121,0.6408006393234775,0.0003321187547683428,6.439065452064699,27.93242843241829,2.6007001115722375,22.789529632757713,8.595448496030468,21.210336891415544,COMPLETE
23,23,41.09369659423828,2024-03-11 03:40:09.749889,2024-03-11 05:26:49.641162,0 days 01:46:39.891273,9.673257609785292,4.97009983904792,21.703723883449772,2.352275879426511,0.822353206309521,0.29857823046046517,0.2772506303338381,0.8390554351018624,0.0004446542478083647,13.587040085252513,21.23915166446955,2.568135008306874,34.05071049494633,20.263496925827617,12.310240771091964,COMPLETE
